date,value
2019-01-01,3
2019-02-01,3.02
2019-03-01,3.04
2019-04-01,3.06
2019-05-01,3.08
2019-06-01,3.1
2019-07-01,3.12
2019-08-01,3.14
2019-09-01,3.16
2019-10-01,3.18
2019-11-01,3.2
2019-12-01,3.22
2020-01-01,3.24
2020-02-01,3.26
2020-03-01,3.28
2020-04-01,3.3
2020-05-01,3.32
2020-06-01,3.34
2020-07-01,3.36
2020-08-01,3.38
2020-09-01,3.4
2020-10-01,3.42
2020-11-01,3.44
2020-12-01,3.46
2021-01-01,3.48
2021-02-01,3.5
2021-03-01,3.52
2021-04-01,3.54
2021-05-01,10
2021-06-01,3.54
2021-07-01,3.52
2021-08-01,3.5
2021-09-01,3.48
2021-10-01,3.46
2021-11-01,3.44
2021-12-01,3.42
2022-01-01,3.4
2022-02-01,3.38
2022-03-01,3.36
2022-04-01,3.34
2022-05-01,3.32
2022-06-01,3.3
2022-07-01,3.28
2022-08-01,3.26
2022-09-01,3.24
2022-10-01,3.22
2022-11-01,3.2
2022-12-01,3.18
2023-01-01,3.16
2023-02-01,3.14
2023-03-01,3.12
2023-04-01,3.1
2023-05-01,3.08
2023-06-01,3.06
2023-07-01,3.04
2023-08-01,3.02
2023-09-01,3
2023-10-01,3.02
2023-11-01,3.04
2023-12-01,3.06
2024-01-01,3.08
2024-02-01,3.1
2024-03-01,3.12
2024-04-01,3.14
2024-05-01,3.16
2024-06-01,3.18
2024-07-01,3.2
2024-08-01,3.22
2024-09-01,3.24
2024-10-01,3.26
2024-11-01,3.28
2024-12-01,3.3
2025-01-01,3.32
2025-02-01,3.34
2025-03-01,3.36
2025-04-01,3.38
2025-05-01,3.4
2025-06-01,3.42
2025-07-01,3.44
2025-08-01,3.46
2025-09-01,3.48
2025-10-01,3.5
2025-11-01,3.52
2025-12-01,3.54
